"";"faculty_id";"name";"kind";"type";"description";"specialization"
"0";"0";"Budownictwo";"Studia inżynierskie I stopnia";"Stacjonarne";"Kierunek studiów Budownictwo należy do obszaru kształcenia w zakresie nauk technicznych, w dyscyplinie Inżynieria lądowa i transport. Podstawowe cele kształcenia na studiach I stopnia kierunku Budownictwo obejmują przekazanie wiedzy, umiejętności oraz kompetencji w zakresie projektowania, wykonawstwa, remontów obiektów budowlanych, nadzorowania i zarządzania procesami budowlanymi. Absolwenci kierunku mogą pracować jako projektanci i konstruktorzy obiektów budowlanych,
inżynierowie nadzoru i inżynierowie budowy, specjaliści ds. produkcji elementów budowlanych, specjaliści ds. realizacji procesu budowlanego. Po ukończeniu studiów I stopnia, absolwenci kierunku Budownictwo mają możliwość podjęcia studiów na II stopniu tego samego kierunku, w tym możliwość podjęcia jednej z pięciu specjalności.";""
"1";"0";"Budownictwo";"Studia inżynierskie I stopnia";"Niestacjonarne";"Kierunek studiów Budownictwo należy do obszaru kształcenia w zakresie nauk technicznych, w dyscyplinie Inżynieria lądowa i transport. Podstawowe cele kształcenia na studiach I stopnia kierunku Budownictwo obejmują przekazanie wiedzy, umiejętności oraz kompetencji w zakresie projektowania, wykonawstwa, remontów obiektów budowlanych, nadzorowania i zarządzania procesami budowlanymi. Absolwenci kierunku mogą pracować jako projektanci i konstruktorzy obiektów budowlanych,
inżynierowie nadzoru i inżynierowie budowy, specjaliści ds. produkcji elementów budowlanych, specjaliści ds. realizacji procesu budowlanego. Po ukończeniu studiów I stopnia, absolwenci kierunku Budownictwo mają możliwość podjęcia studiów na II stopniu tego samego kierunku, w tym możliwość podjęcia jednej z pięciu specjalności.";""
"2";"0";"Inżynieria Górnicza";"Studia inżynierskie I stopnia";"Stacjonarne";"Kierunek studiów Inżynieria Górnicza należy do obszaru kształcenia w zakresie nauk technicznych, w dyscyplinie inżynieria środowiska, górnictwo i energetyka. Kierunek jest powiązany z takimi kierunkami studiów, jak: budownictwo, geologia, inżynieria środowiska. Kształcenie na kierunku Inżynieria Górnicza prowadzone jest od początku istnienia Uczelni czyli od 1919 roku. Podstawowe cele kształcenia na studiach I stopnia kierunku Inżynieria Górnicza obejmują przekazanie wiedzy i umiejętności w zakresie szeroko pojętej technologii udostępniania, pozyskiwania i przetwarzania różnych złóż surowców stałych. Absolwenci kierunku mogą podjąć pracę w podziemnych, odkrywkowych i otworowych zakładach górniczych, przedsiębiorstwach zajmujących się wykonywaniem podziemnych obiektów inżynierskich w tym tuneli, przedsiębiorstwach zajmujących się usługami dla potrzeb górnictwa, kopalnianych stacjach geofizycznych oraz zakłady przeróbki mechanicznej i wzbogacania surowców, biurach projektowych, stacjach ratownictwa górniczego, przedsiębiorstwach geologicznych i budownictwa geotechnicznego, organach nadzoru górniczego. Po ukończeniu studiów I stopnia, absolwenci kierunku Inżynieria Górnicza mają możliwość podjęcia studiów na II stopniu tego samego kierunku.";""
"3";"0";"Inżynieria Górnicza";"Studia inżynierskie I stopnia";"Niestacjonarne";"Kierunek studiów Inżynieria Górnicza należy do obszaru kształcenia w zakresie nauk technicznych, w dyscyplinie inżynieria środowiska, górnictwo i energetyka. Podstawowe cele kształcenia na studiach I stopnia kierunku Inżynieria Górnicza obejmują przekazanie wiedzy i umiejętności w zakresie szeroko pojętej technologii udostępniania, pozyskiwania i przetwarzania różnych złóż surowców stałych. Absolwenci kierunku mogą podjąć pracę w odkrywkowych oraz podziemnych zakładach górniczych, przedsiębiorstwach zajmujących się wykonywaniem podziemnych obiektów inżynierskich w tym tuneli, przedsiębiorstwach zajmujących się usługami dla potrzeb górnictwa, kopalnianych stacjach geofizycznych oraz zakładach przeróbki mechanicznej i wzbogacania surowców, biurach projektowych, stacjach ratownictwa górniczego, przedsiębiorstwach geologicznych i budownictwa geotechnicznego, organach nadzoru górniczego. Po ukończeniu studiów I stopnia, absolwenci kierunku Inżynieria Górnicza mają możliwość podjęcia studiów na II stopniu tego samego kierunku.";""
"4";"0";"Inżynieria i Zarządzanie Procesami Przemysłowymi";"Studia inżynierskie I stopnia";"Stacjonarne";"Kierunek studiów Inżynieria i Zarządzanie Procesami Przemysłowymi należy do obszaru kształcenia w zakresie nauk technicznych, w dyscyplinie inżynieria środowiska, górnictwo i energetyka.
Podstawowe cele kształcenia na studiach I stopnia kierunku Inżynieria i Zarządzanie Procesami Przemysłowymi obejmują przekazanie wiedzy, umiejętności i kompetencji w zakresie szeroko pojętej inżynierii produkcji i jakości oraz nowoczesnego zarządzania, które powinna posiadać kadra inżynieryjno-techniczna zatrudniona w przemyśle. Absolwenci kierunku mogą podjąć pracę m.in. jako inżynierowie produkcji, kadra zarządzająca wyższego i niższego szczebla, menadżerowie, logistycy, doradcy finansowi, audytorzy, kierownicy projektów, planiści, specjaliści ds. produkcji, zarządzania jakością, CSR, organizacji produkcji, inżynierowie procesu, inżynierowie produktu.
Po ukończeniu studio I stopnia, absolwenci kierunku Inżynieria i Zarządzanie Procesami Przemysłowymi mają możliwość podjęcia studiów na II stopniu tego samego kierunku, w tym możliwość podjęcia jednej z pięciu specjalności.";""
"5";"0";"Inżynieria i Zarządzanie Procesami Przemysłowymi";"Studia inżynierskie I stopnia";"Niestacjonarne";"Kierunek studiów Inżynieria i Zarządzanie Procesami Przemysłowymi należy do obszaru kształcenia w zakresie nauk technicznych, w dyscyplinie inżynieria środowiska, górnictwo i energetyka.
Podstawowe cele kształcenia na studiach I stopnia kierunku Inżynieria i Zarządzanie Procesami Przemysłowymi obejmują przekazanie wiedzy, umiejętności i kompetencji w zakresie szeroko pojętej inżynierii produkcji i jakości oraz nowoczesnego zarządzania, które powinna posiadać kadra inżynieryjno-techniczna zatrudniona w przemyśle. Absolwenci kierunku mogą podjąć pracę m.in. jako inżynierowie produkcji, kadra zarządzająca wyższego i niższego szczebla, menadżerowie, logistycy, doradcy finansowi, audytorzy, kierownicy projektów, planiści, specjaliści ds. produkcji, zarządzania jakością, CSR, organizacji produkcji, inżynierowie procesu, inżynierowie produktu.
Po ukończeniu studio I stopnia, absolwenci kierunku Inżynieria i Zarządzanie Procesami Przemysłowymi mają możliwość podjęcia studiów na II stopniu tego samego kierunku, w tym możliwość podjęcia jednej z pięciu specjalności.";""
"6";"0";"Inżynieria Kształtowania Środowiska";"Studia inżynierskie I stopnia";"Stacjonarne";"Studenci otrzymują wiedzę ogólną z zakresu inżynierii kształtowania środowiska zewnętrznego i wewnętrznego z uwzględnieniem instrumentów prawnych, administracyjnych i ekonomicznych oraz uzyskują wiedzę szczegółową o poszczególnych komponentach środowiska, ich wzajemnych zależnościach i oddziaływaniach, o zanieczyszczeniach naturalnych i antropogenicznych oraz metodach im przeciwdziałania.
W zakresie kształtowania środowiska zewnętrznego absolwent posiada wiedzę związaną z gospodarką odpadami, w tym technologiami ich przetwarzania i odzysku oraz gospodarką o obiegu zamkniętym, metod i środków technicznych oczyszczania ścieków i uzdatniania wody, oceny stanu monitoringu środowiska (powietrze, wody, gleba), przekształcania powierzchni terenu (remediacja, rekultywacja, rewitalizacja). W zakresie kształtowania środowiska wewnętrznego absolwent posiada wiedzę dotyczącą projektowania i wykonywania instalacji wentylacyjnych i klimatyzacyjnych, jak również nowoczesnych systemów grzewczych opartych o odnawialne źródła energii. Zajęcia praktyczne (wyjazdy studyjne i zajęcia terenowe) i praktyki studenckie są okazją do zapoznania się z praktyką pracy inżyniera – specjalisty w inżynierii środowiska. Absolwent może być zatrudniony w zakładach przemysłowych związanych z inżynierią i ochroną środowiska; zakładach komunalnych, w tym gospodarki odpadami, oczyszczalniach ścieków; zakładach uzdatniania wody, zakładach produkcyjnych urządzeń wyposażenia instalacji wentylacyjnych, klimatyzacyjnych, ogrzewczych, wodno-kanalizacyjnych oraz instalacji z wykorzystaniem odnawialnych źródeł energii; firmach wykonawczych instalacji HVAC; firmach budowlanych; firmach projektujących i wykonujących sieci wodociągowe i kanalizacyjne; firmach wykonujących audyty i wydających świadectwa energetyczne; instytucjach nadzoru środowiska; jednostkach samorządu terytorialnego; inspektoratach ochrony środowiska; jednostkach naukowo-badawczych związanych z inżynierią środowiska. Absolwenci przygotowani są do podjęcia studiów drugiego stopnia nie tylko na kierunku Inżynieria środowiska, ale również na niektórych specjalnościach kierunków: Budownictwo, Górnictwo i Geologia, Budowa Maszyn.";""
"7";"0";"Inżynieria Kształtowania Środowiska";"Studia inżynierskie I stopnia";"Niestacjonarne";"Studenci otrzymują wiedzę ogólną z zakresu inżynierii kształtowania środowiska zewnętrznego i wewnętrznego z uwzględnieniem instrumentów prawnych, administracyjnych i ekonomicznych oraz uzyskują wiedzę szczegółową o poszczególnych komponentach środowiska, ich wzajemnych zależnościach i oddziaływaniach, o zanieczyszczeniach naturalnych i antropogenicznych oraz metodach im przeciwdziałania.
W zakresie kształtowania środowiska zewnętrznego absolwent posiada wiedzę związaną z gospodarką odpadami, w tym technologiami ich przetwarzania i odzysku oraz gospodarką o obiegu zamkniętym, metod i środków technicznych oczyszczania ścieków i uzdatniania wody, oceny stanu monitoringu środowiska (powietrze, wody, gleba), przekształcania powierzchni terenu (remediacja, rekultywacja, rewitalizacja). W zakresie kształtowania środowiska wewnętrznego absolwent posiada wiedzę dotyczącą projektowania i wykonywania instalacji wentylacyjnych i klimatyzacyjnych, jak również nowoczesnych systemów grzewczych opartych o odnawialne źródła energii. Zajęcia praktyczne (wyjazdy studyjne i zajęcia terenowe) i praktyki studenckie są okazją do zapoznania się z praktyką pracy inżyniera – specjalisty w inżynierii środowiska. Absolwent może być zatrudniony w zakładach przemysłowych związanych z inżynierią i ochroną środowiska; zakładach komunalnych, w tym gospodarki odpadami, oczyszczalniach ścieków; zakładach uzdatniania wody, zakładach produkcyjnych urządzeń wyposażenia instalacji wentylacyjnych, klimatyzacyjnych, ogrzewczych, wodno-kanalizacyjnych oraz instalacji z wykorzystaniem odnawialnych źródeł energii; firmach wykonawczych instalacji HVAC; firmach budowlanych; firmach projektujących i wykonujących sieci wodociągowe i kanalizacyjne; firmach wykonujących audyty i wydających świadectwa energetyczne; instytucjach nadzoru środowiska; jednostkach samorządu terytorialnego; inspektoratach ochrony środowiska; jednostkach naukowo-badawczych związanych z inżynierią środowiska. Absolwenci przygotowani są do podjęcia studiów drugiego stopnia nie tylko na kierunku Inżynieria środowiska, ale również na niektórych specjalnościach kierunków: Budownictwo, Górnictwo i Geologia, Budowa Maszyn.";""
"8";"0";"Rewitalizacja Terenów Zdegradowanych";"Studia inżynierskie I stopnia";"Stacjonarne";"Program studiów I stopnia na kierunku Rewitalizacja Terenów Zdegradowanych pozwala zdobyć wiedzę z zakresu zjawisk i procesów zachodzących w przyrodzie, poznać opis matematyczny przebiegu procesów fizycznych i chemicznych w obszarach budownictwo, inżynieria środowiska i górnictwo, a także przyczyny i skutki degradacji środowiska, z uwzględnieniem działalności wydobywczej. Ponadto umożliwia poznanie metod oceny stopnia degradacji środowiska oraz sposobów jego rewitalizacji, podstawowych zasad projektowania w skali urbanistycznej, formalno-prawnych procedur planistycznych, środowiskowych i rewitalizacyjnych, metod waloryzacji i zabezpieczania infrastruktury przemysłowej i obiektów, podziemnych oraz adaptacji dla współczesnych funkcji, budownictwa, z uwzględnieniem ekologicznych rozwiązań w architekturze, narzędzi ekonomiczno-finansowych oraz zarządzania i marketingu procesem rewitalizacji, społecznych aspektów rewitalizacji.
Zakres i program studiów pozwalają także nabyć umiejętność opisu i analizy podstawowych zagadnień fizycznych i technicznych, oceny stopnia degradacji środowiska za pomocą aparatury chemicznej oraz biologicznych metod oceny jakości środowiska, a następnie opracowania i interpretacji wyników badań. Absolwent kierunku potrafi wykonać analizę urbanistyczną i zaproponować możliwe wdrożenia projektowe, ocenić walory infrastruktury przemysłowej, dobrać metody zabezpieczenia i konserwacji oraz określić optymalne kierunki adaptacji, określić zasady budowy na terenach zdegradowanych, wykonać prostą analizę ekonomiczno-finansową inwestycji rewitalizacyjnej oraz kosztorys projektowanych elementów zagospodarowania terenu, określić potrzeby społeczne i uwzględnić je w procesie rewitalizacji, pracować w interdyscyplinarnym zespole specjalistów w ramach realizacji inwestycji rewitalizacyjnych. Absolwenci kierunku mogą pracować jako: specjaliści ds. rewitalizacji terenów zdegradowanych, laboranci i kadra naukowo-badawcza, kierownicy projektów, specjaliści ds. oceny oddziaływania na środowisko, analitycy finansowi, obsługa inwestorów w procesie rewitalizacji, konsultanci ds. rewitalizacji, właściciele firm.";""
"9";"1";"Edukacja Techniczno - Informatyczna";"Studia inżynierskie I stopnia";"Stacjonarne";"Program studiów I stopnia został ułożony w taki sposób, aby przekazać studentom podstawową wiedzę z zakresu inżynierii materiałowej, metalurgii, przeróbki plastycznej oraz informatyki. Przekazywana jest także wiedza z zakresów przedmiotów dydaktycznych, niezbędna w przyszłej pracy absolwenta. Absolwenci kierunku mogą pracować jako specjaliści w zakresie inżynierii materiałowej oraz technologii wytwarzania, administratorzy systemów komputerowych, programiści, inżynierzy oprogramowania, administratorzy baz danych, webmasterzy, graficy komputerowi oraz projektanci CAD/CAM, profesjonalnie przygotowani szkoleniowcy w obszarze szkoleń z zakresu wybranych obszarów techniki jak i informatyki. Program studiów spełnia wszystkie standardy kształcenia nauczycieli wyznaczone przez rozporządzenie MEN, co oznacza że absolwenci mogą szukać zatrudnienia w szkolnictwie. Jak wskazują wyniki badań losów zawodowych absolwentów kierunku Edukacja Techniczno-Informatyczna, prowadzonych przez Centrum Karier AGH, około 55% absolwentów niniejszego kierunku znajduje pracę w czasie poniżej 1 miesiąca, a 90% absolwentów znajduje pracę w ciągu 6 miesięcy.";""
